,track_uri,artist_name,album_name,release_date,track_name,duration_ms,explicit,popularity
0,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,2022-10-17,Just Wanna Rock,123890,True,89
1,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake,Her Loss,2022-11-04,Rich Flex,239359,True,95
2,spotify:track:4wRJHXHDJnKSPr9IVn0BFR,Quavo,Only Built For Infinity Links,2022-10-07,To The Bone (feat. YoungBoy Never Broke Again),283196,True,79
3,spotify:track:7B09THlbQE2RndpgXeXQYE,Gucci Mane,Letter to Takeoff,2022-11-15,Letter to Takeoff,217872,True,67
4,spotify:track:2KLwPaRDOB87XOYAT2fgxh,Drake,Her Loss,2022-11-04,Pussy & Millions (feat. Travis Scott),242026,True,90
5,spotify:track:65nmqAEqW7CJIkXOIkxyg8,Young Dolph,Get Away,2022-11-17,Get Away,180760,True,69
6,spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,Key Glock,PRE5L,2022-11-17,Jigsaw,152893,True,66
7,spotify:track:5gAwpwuchaCGnJLlBMGBzp,NLE Choppa,Do It Again (feat. 2Rare),2022-10-07,Do It Again (feat. 2Rare),213206,True,80
8,spotify:track:2RJAKIw6nIkgZVsAIKhmqz,Juice WRLD,In My Head,2022-10-28,In My Head,192000,True,84
9,spotify:track:0tgAhrvNPhSyMZR0wWbv6Z,Roddy Ricch,Feed Tha Streets III,2022-11-18,#1 Freak (feat. Ty Dolla $ign),169005,True,70
10,spotify:track:6ja11GoXgF75QkEVqqAadn,Trippie Redd,Ain’t Safe (feat. Don Toliver),2022-10-28,Ain’t Safe (feat. Don Toliver),166514,True,75
11,spotify:track:6ug9fUi5oLLgQgOF1G8WkM,Lil Baby,It's Only Me,2022-10-14,California Breeze,177789,True,81
12,spotify:track:6R6ZS5HYH4RdXkjEwEJO5R,Central Cee,No More Leaks,2022-10-14,One Up,160000,True,77
13,spotify:track:6PvHZ5vVjUhngh0t3pIsPc,Quavo,Only Built For Infinity Links,2022-10-07,Chocolate (feat. Young Thug and Gunna),208372,True,73
14,spotify:track:6mM8gri8d2abYYomjOV4ut,Roddy Ricch,Stop Breathing,2022-09-30,Stop Breathing,110706,True,76
15,spotify:track:6Y95jrYOOWDkh7uO6PSDBT,Polo G,Bag Talk,2022-10-28,Bag Talk,147435,True,74
16,spotify:track:2A0G0bPmlkUXUbvWqrAXzg,Lil Baby,It's Only Me,2022-10-14,Not Finished,163453,True,78
17,spotify:track:7asQMsxC6dNgY0inCzJC5O,Nardo Wick,Who is Nardo Wick?? (Deluxe),2022-10-14,G Nikes (feat. Polo G),194036,True,73
18,spotify:track:2tFwYCvY0x9IfeW63AdMpM,A Boogie Wit da Hoodie,Take Shots (feat. Tory Lanez),2022-10-21,Take Shots (feat. Tory Lanez),281985,True,72
19,spotify:track:4ZevD501qZiFK7FY8DFn0V,Don Toliver,Do It Right,2022-11-18,Do It Right,174474,True,73
20,spotify:track:13VvjrXWYzG9lWViL8Y9vM,Rod Wave,Break My Heart,2022-11-10,Break My Heart,169411,True,72
21,spotify:track:4OkFBMU18NidtaefaTjUq1,Lil Baby,It's Only Me,2022-10-14,Real Spill,198722,True,78
22,spotify:track:46GyY53xkfMRYTqZAQ33ne,Money Man,Blackout,2022-10-28,Similar,112000,True,66
23,spotify:track:0wTTf3msjDJ8NcZGTmQJQV,Ty Dolla $ign,My Friends (feat. Lil Durk),2022-10-05,My Friends (feat. Lil Durk),158167,True,74
24,spotify:track:3TJTvFCoVZaWWTRuaIPkMl,Russ,BET,2022-10-14,BET,154285,True,70
25,spotify:track:3QHGfxhjexLaMKGHXagfRs,SoFaygo,Pink Heartz,2022-11-11,Hell Yeah,168160,True,60
26,spotify:track:46s57QULU02Voy0Kup6UEb,Drake,Her Loss,2022-11-04,Major Distribution,170501,True,90
27,spotify:track:6H6ZtVp6DymejLOJLdRzOI,G Herbo,Survivor’s Remorse: A Side,2022-10-07,Shordie (with Gunna),176588,True,68
28,spotify:track:6rI8uFFmGyvS2N6sqDCdu3,DDG,It's Not Me It's You (Deluxe),2022-10-07,Bulletproof Maybach (feat. Offset),177073,True,70
29,spotify:track:6XO8RlYuJCiI0v3IA48FeJ,Marshmello,Bye Bye,2022-10-14,Bye Bye,108498,True,82
30,spotify:track:5JS1gz9zP4GTy0LZYvSeUK,Peezy,ONLY BUILT 4 DIAMOND LINKS,2022-08-12,2 Million Up,159973,True,71
31,spotify:track:5B40Td13cDQ4adeAiLf8Z4,Roddy Ricch,Twin (feat. Lil Durk),2022-11-14,Twin (feat. Lil Durk),148855,True,73
32,spotify:track:5eTBBqeELbM67DaQ2l5f1Z,Quando Rondo,3860,2022-11-25,I Swear (feat. Lul Timm),156585,True,57
33,spotify:track:6PQK1Y3Dl6dym9pj0y9Chy,Lil Tjay,Give You What You Want,2022-11-11,Give You What You Want,159330,True,76
34,spotify:track:3wspfG772mi1c25JpnNOVP,Kodak Black,Walk/Spin,2022-09-16,Walk,166039,True,74
35,spotify:track:6Md6lyVVoKWcOaSg8u1tDn,EST Gee,I Never Felt Nun,2022-09-16,Shoot It Myself (feat. Future),187843,True,71
36,spotify:track:5BvfdAtqZXGbR3Ub1Bejb6,Baby Keem,The Melodic Blue (Deluxe),2022-10-28,bank account (with Lil Uzi Vert),214240,True,73
37,spotify:track:7KXVIAuw3m2hxZanrpSXS3,GloRilla,Tomorrow 2 (with Cardi B),2022-09-23,Tomorrow 2 (with Cardi B),209811,True,81
38,spotify:track:48qgXl0CQUVYJVn6xv0rsP,Quavo,Nothing Changed,2022-09-30,Nothing Changed,199111,True,74
39,spotify:track:1QrL8zd8MIrCiOPuj02dxC,Finesse2tymes,Back End,2022-10-07,Back End,165478,True,68
40,spotify:track:2g3qKijfeHfDyM7Fmaoi5M,Moneybagg Yo,Blow,2022-09-22,Blow,182533,True,73
41,spotify:track:2BSl2gSFHdzJAMus74qzNj,EST Gee,I Never Felt Nun,2022-09-16,Backstage Passes (feat. Jack Harlow),158431,True,73
42,spotify:track:2NVXBBbO4xGO851zrMfCFi,Sleepy Hallow,2 Mins of Pain (feat. Alborosie),2022-09-07,2 Mins of Pain (feat. Alborosie),136695,True,72
43,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Queen Radio: Volume 1,2022-08-26,Super Freaky Girl,170977,True,80
44,spotify:track:74loibzxXRL875X20kenvk,Lil Yachty,Poland,2022-10-11,Poland,83200,True,84
45,spotify:track:5unjCay0kUjuej5ebn4nS4,Pharrell Williams,Down In Atlanta,2022-11-18,Down In Atlanta,164041,True,82
46,spotify:track:4gKWtJGlhxKKSyV65llt2G,Ski Mask The Slump God,OOGA BOOGA!,2022-10-25,OOGA BOOGA!,139038,True,77
47,spotify:track:0vbmYCIWENdYyJ36Q4CdSz,Smino,90 Proof (with J. Cole),2022-09-30,90 Proof (with J. Cole),208269,True,71
48,spotify:track:1LzovYtOvkODueiluGyRzF,Chance the Rapper,YAH Know,2022-11-18,YAH Know,358000,False,63
49,spotify:track:7G5wdn7Os6rKWtmbTYCjJO,Rod Wave,Jupiter's Diary: 7 Day Theory,2022-11-18,MJ Story,159545,True,67
